url,article
http://pellokattos.blogspot.com/2008/09/blog-post.html,"Χαιρετίζω τον κόσμο (τωρά πιο κόσμο απορώ).
Ενομίζω να το διαβάσουν παραπάνω που 2 άτομα.
Εν πειράζει...εν καλά να προβλέπω το μέλλον.
Το λοιπόν για το χρώμα τον γραμμάτων θα εξηγήσω. Αρέσκει μου το μώβ.
Anw, πίσω στον λόγο που ξεκινώ τούτο το blog. Πιστέψετε με, εν έχω ιδέα. Είπα αφού ούλοι ξεκινούν γιατί όχι κι εγώ. Για την ονομασία του blog ευθίνεται η γάτα μου με το όνομα Λούλου. Εννα κάμω post φωτογραφίες της σε κάποια φάση.
Τα νέα ως τωρά είναι ότι δουλεύκω κάπου (δεν ονομάζω για να έχουμε τζαι κάποιο privacy).
Η γάτα μου είναι περίπου 4-5 μηνών. Εν είμαι σίουρη γιατί εν ξέρω πότε εγεννήθικε ακριβώς. Είναι χρώματος πορτοκαλί και η ουρά της εν πιο μεγάλη που την ίδια. Εν ομορφούα όμως. Είχαμε όμως κάποια παρατράγουδα τούτο το weekend. Αρρώστησε (είχε σκουλούτζια) τζαι έπρεπε να της διώ αντιβίοση. Πιστέψετε με εν πολλά δύσκολη δουλειά να διας liquid φάρμακο σε γάτο. Ευτυχώς επιβίωσα εγώ τζαι η Λούλου.
Που εβδομάδας πάλε εννα με συμπαθά πάλε.
More news to come. Please be gentle on the comments. I'm a first time blogger τζαι καθόλου καλή στον γραπτό λόγο(τζαι στην ορθογραφία όπως επροσέξετε).
ΚαλωσόρισεςReplyDelete
και ...καλή συνέχεια!
Βασίλης
Ευχαριστώ Βασίλη :)ReplyDelete
Καλή αρχήReplyDelete
Εν τζιε εννα κάμω σχόλιον.ReplyDelete
Ετο έμπηκα απλά επηδεί είπες οτι εν πρόκειτε να το θκιαβάσουν παραπάνω που θκιό άτομα.
Κερδίζω τίποτε?
τζαι μένα ο κάττος μου που ήταν μωρό έπιανε κάθε λλίο παράσιτα.ReplyDelete
μπόρεις να της διάς προληπτικά κάθε 3-4 μήνες νομίζω ένα φάρμακο. ρώτα τον κτηνίατρο σου.
μάνα μου τα ρε τα γατάκιααα.
nai, dias tis mes sto fai lio farmako gia tin tainioula kathe ligous mines je enne en entaxei.ReplyDelete
Twra se ivra dame, so...cheers!"
http://pellokattos.blogspot.com/2008/09/blog-post_23.html,"Το λοιπόν είπα να ξεκινήσω μαθήματα για ECDL και στο εγγύης μέλλον να πάρω το δίπλωμα του ECDL Expert.
(Αν διερωτάστε για το χρώμα τών γραμμάτων δοκιμάζω πιο χρώμα πάει καλύτερα με το layout που διάλεξα.)
Πίσω στα δικά μου. Που λέτε...προσπαθώ να ξεκινήσω τούτα τα μαθήματα. Έλεα να ξεκινήσω τον Σεπτέμβρη αλλά εν 23 του μήνα τζαι ακόμα τίποτε.
Προσπαθώ να έβρω βασικά τον καλύτερο τόπο να πάω. Οκ, ετζαι λέω να εν ο the best place ever!! αλλά τουλάχιστο να εν ευχάριστος τόπος.
Anw, εβαρέθικα να γράφω επειδή εν έχω τζαι πολλά νέα. Τα λέμε!
Τί σημαίνει ECDL Expert;ReplyDelete
Βασίλης
Αγαπητέ και πρώτε αναγνώστη ΒασίληReplyDelete
Το ΕCDL σημαίνει Εuropean Computing Driving License. Απλά υπάρχουν 2 επείπεδα. Το πρώτο και αρχικό συνήθως κάμνουν το τα παιδιά ηλικίας 11-16 χρονών. Εν τόσο απλό δηλαδή. Έχει 7 ενότητες αν θυμούμε καλά. Αν τα περάσεις ούλα πιάνεις ένα δίπλωμα.
Άμαν θέλεις να προχωρήσεις υπάρχει το expert. Που βασικά κάμνεις τα ίδια προγράμματα (Οffice, Windows) αλλά σε μεγαλύτερη δυσκολία.
www.ecdl.com.cy για Κύπρο & www.ecdl.org
Φίλε,να με μάθεις τζαι εμένα να αλλάσω χρώμματα τζαι εβαρήθηκα τα μαύρα,καλό μήνα και καλή αρχή!!!ReplyDelete"
http://pellokattos.blogspot.com/2008/09/blog-post_30.html,"Το λοιπόν,
τον Σεπτέμβρη εξεκίνησα τον ωραία. Καινούρια δουλειά που εν σχετικά καλή σε σχέση με τις προιγούμενες μου (και άλλαξα 2-3 δουλειές...τωρά εμπήκα στον κόσμο του εργαζόμενου λαού), ξεκίνησα να πιένω γυμναστήριο μετά που πολλά πολλά χρόνια αγυμνασίας.
Που εβδομάδας όμως εννα ξεκινήσω τα μαθήματα που είδη ανάφερα σε παλαιότερο post. Που πάλε καλά ένει μιας τζαι έχει σχέση με το μέλλον μου τζαι για εξασφάλιση καλύτερης δουλείας.
Δυο φορές την εβδομάδα ECDL Word και δυο φορές ECDL Autocad. Τωρά πείτε μου τζαι εσείς που να έβρω ώρα να πιένω τζαι γυμναστήριο.
Πώς θα συνεχίσω να διατηρώ αυτή την θεϊκή μου κορμάρα; (όσοι με γνωρίζεται μεν ππέσετε χαμέ που τα γέλια pls) Η παρέα που πιένουμε μαζί δυστυχώς εν μπορεί άλλες ώρες. Άρκεψα τζαι απελπίζουμε. Πρέπει να μεγαλώσουν οι ημέρες νομίζω για να μπορώ να πιένω τζαι τζίνα τα 30 λεπτά γυμναστήριο.
Κάτι εντελώς άσχετο με το πιο πάνω θέμα.
Προς όλους που πιένουν δουλειά πρωί μέσα στη κίνηση των 7:00-8:00:
Στα φώτα όταν οι άλλοι μπροστά σας που εν μες τη μέση του δρόμου προχωρίσουν αλλά εν κόκκινο για εσάς τζαι εσείς είσαστε αρκετά πίσω που ώστε να μεν εμποδίζεται την κίνηση ΜΕΝ ΠΡΟΧΩΡΑΤΕ!! Έτσι δημιουργήτε ατυχήματα πρωί ξημέρωμα άστο που ξεκινά το όλο στρες της ημέρας πριν καλά καλά ανοίξουν τα μάτια μας.
Επίσης όσοι ζωώφιλοι διαβάζουν το blog, σας παρακαλώ να παρεβρεθείτε την Πέμπτη 2/10 στις 3 το απόγευμα στο Κοινοβούλιο (απέναντι από το παλιό Γενικό Νοσοκομείο στη Λευκωσία) για να δείξουμε την υποστήριξη μας προς τα ζώα και επιτέλους να σταματήσουμε την κακομεταχείριση τους σε αυτή τη χώρα.
No comments:
Post a Comment"
http://pellokattos.blogspot.com/2008/10/4-post.html,"Μετα δυσκολίας βρισκόμαστε το 4ο post αυτού του λιγοδιάβαστου blog.
Έχει λίγες μέρες να γράψω κάτι.
Ο λόγος; Βασικά εν έβρισκα χρόνο ούτε όρεξη.
Λίγα updates: Οι συγκέντροση έξω που την Βουλή ήταν OK. Ούτε καλή αλλα ούτε χάλια. Κάτι εν τζαι εν τούτο εννα μου πείτε.
Αύριο διοργανόνετε το 5ο Dogathon στη τάφρο δίπλα που την αίθουσα της Μελίνας Μερκούρη. Ο σκοπός είναι να μαζέψουν λεφτά για το Dog Shelter της Λευκωσίας. Όσοι μπορείτε παρεβρεθήτε με σκύλους ή χωρίς. Η συμμετοχή είναι μόνο 6 ευρώ για ενήλικες και δωρεάν για παιδιά και σκύλους. Φυσικά εννα έχει τζι άλλα πράματα που εννα μπορείτε να κάμετε.
Πίσω στα δικά μου νέα. Ξεκίνησα αυτή την εβδομάδα τα μαθήματα του AutoCAD. Προς το παρών πάμε τα καλά. Ευτυχώς έχει τζαι ένα συνάδελφο μου ανάμεσα στα 12 άτομα αρα τουλάχιστο υπάρχει μια γνώριμη φάτσα. Τα μαθήματα κυλούν ομαλά τζαι σχετικά χώρις πίεση, ούτε που τον δάσκαλο ούτε που τον χρόνο.
Μια συζήτηση που είχα με αυτό τον συνάδελφο τον Γ. έφτασα σε συμπέρασμα ότι πάω τον πολλά. Πολλά καλό παιδί, ώριμος, ευγενικός τζαι ξέρει γενικά τί του γίνετε. Μάλλον θα λαλείτε ""άτε μάνα μου να σε χαρτόσουμε τζαι εν πας το ράφιν που εννα μείνεις"". Η απάντηση μου; Τζιαμέ εννα μείνω ακόμα. Δυστυχώς ο Γ. εν αρραβωνιασμένος. Άρα εχάσαμεν τον τζαι τούτον.
Τωρά που λαλώ για άτομα που εχάσαμε. Μπένει που λέτε προχτές ένας παλιός φίλος στο msn τζαι πάω τζαι μιλώ του. Τζαιρός πολλίς να του μιλήσω. Άτομο που εγνώρισα το καιρό του irc (όσοι παλιοί ας αναπωλίσουν λίγο, όσοι νέοι ας διεροτούντε τι ένει) που απλά εν έτυχε να βρεθούμε ποττέ. Κρίμας. Στο θέμα μας. Όπως μιλούμε συναφέρνει μου ""την γυναίκα μου"". Λαλώ τζαι εγώ έτσι θα λαλεί την φιλενάδα του. Μετά που λίο λαλεί ""ο καλύτερος μου φίλος εμπήκε κουμπάρος"". Ανοίξαν τα μάθκια μου τζαι έππεσε η σαούνα μου!!! 26 χρονών μωρό επίε τζαι επαντρεύτηκε. Ήρτε μου να κλαίω που το κακό μου επειδή είχα κάποιες απιροελάχιστες ελπίδες πως εννα βρεθούμε. Σαννα εν το βλέπω να γίνεται.
Το λοιπόν θέλω εισηγήσεις ήτε παρατηρήσεις ή οτιδίποτε τέλος πάντων για ένα θέμα που με απασχολή. Τί κάμνεις άμαν σου αρέσκει κάποιος που τον τόπο που δουλεύκης; Προσπαθείς να τον βοηθήσεις στη δουλειά του τζαι με τούτο τον τρόπο να βρεθείς πιό κοντά του ή λαλείς ότι εναν μαλακία επείδη ούλο το γραφείο εν 8 πλάσματα;
HELP!! Βασικά θέλω ποσκόλιο ετζαι τον θέλω θανάσιμα :P
It's quite simple really: Don't shit where you sleep =)ReplyDelete
PS: ""Fancy a drink after work?"" <-- should work"
http://pellokattos.blogspot.com/2008/11/blog-post.html,"Ναι το ξέρω πώς χάθηκα. Πέρασε σχεδόν 1 μήνας από το προϊγούμενο ποστ.
Τι να κάνουμε όμως; Με τραβούσε πιο πολύ το μαξιλάρι παρά η καρέκλα του γραφείου μου.
Τα νεάκια μου τον τελευταίο μήνα;
Τίποτε το συναρπαστικό.
Εκτές επία σε γάμο μιας συναδέλφου μου. Λίο χωριατιλίκκι αλλά σχετικά καλό. Αν εξερέσης την πολύ δυνατή άσχημη, παράφωνη μουσική σε ένα μικρό χώρο ήταν καλούτσικα.
Ήταν και μια ευκαιρία να δω αρκετούς συναδέλφους κάπως πιο σουλουππομένους. Τον ένα ούτε που τον εκατάλαβα. Έσασε μαλλί, εφόρησε φακούς, έβαλε ωραιό πουκαμισούι. Έγινε με λία λόγια σωστός πούρεκκος. Που πρέπει να ομολογίσω ήταν πολλά ωραίο παιδί. Πράμα που δεν θα επρόσεχα αν δεν τον έβλεπα εκτός γραφείου. Άτε, επροσθέσαμε τζι άλλον πάνω στη λίστα.
Να παίξω άντε-μπα-πλόμ να δω πιος εννα μου ππέσει;
Το μωρό αυτή την Παρασκευή (δηλ. η Λούλου, δεν έτυχε να τεκνοποιήσω τον τελευταίο μήνα) θα κάνει μια μικρή εγχειρησούλα στείρωσης. Περαστικά της! Από ότι μου είπε ο γιατρός θα της βάλει και κώνο να μην γλείφη της ραφές της. Η μάμα μου φωνάζει την που τα τωρά ""φωτιστικό"" τζαι επιμένει πως θα την στολίσει πάνω σε ένα τραπεζάκι. Fingers crossed όλα θα παν μια χαρά.
Στους δρόμους το πρωΐ κατά την κούρσα προς την δουλειά είναι ακόμα ένα δράμα. Και όσο περνούν οι μέρες θα γίνει ακόμη χειρότερο. Μετακομίζει η εταιρεία σε νέα γραφεία. Δαμέ που ήθελα 30 λεπτά να πάω δουλειά, αύριο εννα θέλω 1 ώρα και.... Πιός έχει όρεξη για έτσι κούρσα το πρωΐ;
Ξέρει κάποιος που ζητούν υπαλλήλους τζαι να είναι εντός Λευκωσίας;; Παρακαλείτε όπoιος ξέρει να αφήσει ένα μήνυμα. Υπάρχει ένα πολύ απελπισμένο άτομο εδώ.
Στο επανιδείν until next time.
No comments:
Post a Comment"
http://pellokattos.blogspot.com/2011/06/blog-post_08.html,"Μετά από αρκετό καιρό αποφάσισα να σάσω λίο το μπλογκ μου. Έχει 3 ολόκληρα χρόνια να γράψω κάτι. Ο λόγος; Απλά εβαρκούμουν τζαι εν είχα όρεξη να ασχοληθώ.
Σε κάποια φάση θα ξαναβάλω φωτογραφίες του πελλόκαττου μου. Προς το παρόν αρκεί σας το μαύρο μπλογκ όπως έχει.
Τα νέα μου;
Το λοιπόν, πόθεν να ξεκινήσω. Όχι, δεν είμαι παντρεμένη και όχι δεν έχω φίλο. Ναι, από τότε υπήρχαν κάτι περιπέτειες (τζαι ακόμα έχει αλλά αυτά μετά).
Εξεκίνησα δειλά δειλά το πανεπιστήμιο πάλε πέρκι πιάσουμε τζίνο το χαρτί που λέγεται πτυχίο. Απλά για να το βαστώ τζαι να λαλώ πως έχω τζαι εγώ που τούτο το χαρτί. Επειδή έτσι όπως εν τα πράματα τωρά έχει εν έχεις ή έχει 5 που τούτα εν σημάνει τίποτε. Αλλού λαλούν σου είσαι under qualified τζαι αλλού λαλούν σου είσαι over qualified. Εν τζαι βρέθεται η ίσια τους.
Τωρά δουλεύω σε μια εταιρεία συγγενικού μου προσώπου σαν γραμματέας. Φακκά μου ως τζιαμέ που εν πάει άλλο. Ναι, ξέρω πως είμαι τυχερή που έχω δουλειά αλλά εκάμαν με η σιτζιά του μαύρου!! Ότι εν μπόρει να κάμει κάποιος άλλος (ήτε επειδή εν του περνά ή επειδή εν έχει ώρα) ακούεις την πιο συνηθισμένη φράση ""δώστω της μιτσιάς"" (μιτσιά είμαι εγώ).
Ελπίζω να έβρω σύντομα καμιά δουλειά που εν έστω σχετική με τον κλάδο μου ιδαλιός εννά πεχτώ τζιμέσα. Άσε που το περιβάλλον εν τόσο καλό. Έχει καλές μέρες, έχει πολλά κακές μέρες. Φυσικά υπάρχει και η μια που εν στην εταιρεία που το καιρό των δεινοσαύρων τζαι νομίζει εν η μαστόρισσα τζαι παίζει μας την καμπόση. Καλά, το θάψιμο που πέφτει για την συγκεκριμένη εν φαντάζεσαι.
Στο πανεπιστήμιο πάω τα σχετικά καλά. Αρκετά μαθήματα τζαι όχι αρκετές ώρες η ημέρα. Φέτος έδοξε μου να πιάσω και καλοκαιρινό. Πώς μου ήρτε μακάρι να ήξερα. Εννά πάει τζαι τούτο.
Ο σχετικός πελλόκαττος που είναι ο namesake του μπλογκ μεγαλώνει τζαι πασιινίσκει. Έκαμε μια τρίχα σαν το λιοντάρι!! Εννά θελα να ήξερα που την ήβρε! Επίσης μεγαλώνει τζαι σε βάρος. Ο κτηνίατρος με συμβούλευσε να την προσέχω.
Προς το παρών αυτά είναι τα νέα μου περιληπτικά.
No comments:
Post a Comment"
http://pellokattos.blogspot.com/2011/06/uni-post.html,"Tora opos grafo, kathoume se ""mathima"" sto panepistimio. Dierotoume pos dialeoun tous kathigites dld.
O sigkekrimenos einai rossos. Ta agglika tou einai xalia mavra! Ennoo pos exei xalia profora. Den katalavis le3i pou mila. Oi mono touto, alla mila toso siga pou en akouis an den kathese dipla tou. Na men po prepei na eisai kollita pano tou gia na katalavis ta panta.
En exi ena sistima damesa pou erkounte epitheorites gia elegxo? Fisika elpizo ton kairo pou ton eproslavan na tou ekaman ena test period.
3ana etoixe mu na exo 3eno kathigiti na kamni to mathima sta agglika, ektos pou egglezo tzai amerikano (eixe tzai pou toutous).
Eixa px persi ena norvigo. Ok, ta prota 5 lepta sti ta3i prospathouses na prosarmostis stin dialekto tou alla molis ekamne to auti sou tune-in eisoun mia xara. 1on. emilouse dinata na akouei ouli i aithousa, oxi ta prota 3 atoma tzai 2o emilouse kathara, arga tzai aman den katalavenes kati ekamne je to repeat tou.
To gelio me ton sigkekrimeno kathigiti (ton rosso, oxi ton norvigo) etixe se kapio mathima na ktipisi to kinito tou tzai eprepe na to apantisi. Tziame efonaze! Ennow emilouse se normal tone alla se sxesi pou emilouse sti ta3i, efonaze.
Btw, sorry gia ta greeklish, for some reason to computer den exei ellinika.
No comments:
Post a Comment"
http://pellokattos.blogspot.com/2011/07/3.html,"Θέλω μια λογική εξήγηση για το πώς σκέφτεται ο κόσμος στο δρόμο. Έχει κόσμο που κάμνει πολλά εμφανή λάθη τζαι διερωτούμαι αν το παίρνει χαπάρι. 1ο λάθος που βλέπω πάρα πολλά συχνά στους δρόμους, τζαι πιο συγκεκριμένα στα round-about. Κρατάς κύριε την εξωτερική λωρίδα; Η τελευταία σου έξοδος εν ίσια. Τι σκέφτεσε τζαι πάεις δεξιά; Προσπαθείς να κάμεις κανένα δυστύχημα; Φυσικά ο κυπραίος μαθαίνει μετά που εννα πάθει το κακό. Έτσι ήμαστεν σαν λαός.
Το άλλο που είδα σήμερα τζαι ήταν ένα μικρό preview για τις περιβόητες 3 λωρίδες στο έμπα/έφκα Λευκωσίας. Να σημειώσω πως ακόμα δεν παραδοθήκαν οι λωρίδες σε καμία πλευρά, παρόλο που στο έμπα της Λευκωσία εν σε πολλά καλύτερη κατάσταση ο δρόμος επειδή είπαν πως θα παραδοθεί σύντομα. Την αριστερή λωρίδα προς το παρόν την έχουν για έρεισμα δρόμου να μπορεί δηλαδή ο οδηγός να σταματήσει εάν έχει κάποιο πρόβλημα. “Όχι κύριε”, λέει ο κυπραίος “έκαμες τες γραμμούες χαμέ εγώ εννα την χρησιμοποιήσω τζαι εν με κόφτει αν δεν χωρεί το αυτοκίνητο. Εννα ενοχλώ τζίνους που εν στα δεξιά μου.”
Τζαι όι μόνο τούτον, να είσαι εσύ στην “μεσαία” λωρίδα τζαι να σε προσπερνούν που δεξιά τζαι που αριστερά! Που τα δεξιά σου να έχει τον τύπου που φοάτε να προσπεράσει άνετα επειδή έχει τοίχο δίπλα του τζαι να πιάνει λίο αριστερά, τζαι που την άλλη να έχει τον “έξυπνο” να προσπερνά που αριστερά τζαι επειδή εν χωρεί η λωρίδα το αυτοκίνητο (επειδή έχουν κώνους ακόμα) να πιάνει λίο δεξιά. Να φκάλω φτερά να πετάσω να μεν γίνω σάντουιτζ;
Μετά φτάνεις σε ένα σημείο που ακόμα εν εδημιουργήθηκε η 3η λωρίδα. Ούλοι μαζί τα φρένα τζε τον σταυρό σου ταυτόχρονα να μεν δόκεις μπροστά σου ή να σου την δώσει ο πίσω σου. Γιατί; Επειδή οι “έξυπνοι” έπρεπε τζαι τζίνοι να μπουν στην κανονική λωρίδα τζαι εμπέναν μπροστά σου με το έτσι θέλω.
Αν εν έτσι που θα χρησιμοποιούν την 3η λωρίδα νομίζω να μας λείπει. Δώστε τα λεφτά τζιαμέ που τα χρειάζονται τζαι εν θέλουν εκμοντερνισμούς οι κυπραίοι.
No comments:
Post a Comment"
http://pellokattos.blogspot.com/2011/07/40.html,"Σήμερα ήταν ωραία η μέρα. Ξύπνησα όμορφα όμορφα και πήγα παραλία με παρέα. Στο δρόμο, στο χάι-ουέι βασικά, διαδρομή προς Πρωταρά βλέπεις διάφορα τζε διεροτάσε τί στο καλό σκέφταιτε ο κόσμος άμαν φκαίνει να πάει κάπου.
Εφκήκα της Λευκωσίας τζε βλέπω κίνηση. ""Παναγία μου"", λαλώ, ""εν έτσι που εννα πάω Πρωταρά;"" Μετά λαλώ ας πάω τζαι εν πειράζει. Εννα μείνω Λευκωσία στη πυρά;
Προσπερνώ αρκετά αυτοκίνητα τζαι φτάνω στην έξοδο προς Λάρνακα. Προσπερνώ ξανά ορισμένα αυτοκίνητα τζαι βλέπω μπροστά άδειος ο δρόμος. Γυρίζω αριστερά μου τζαι είχε μια γριά σε ένα saloon αυτοκίνητο τζαι επίενε με το ζόρι 50χλμ.
Ωραία λαλώ. Άτε ανάπτυξα τζαι ευχαριστήθηκα το πως θα πάω θάλασσα πριν το μεσημέρι.
Τί άλλο να δώ; Είχε μια με ένα ροζ Ηonda jazz που ο πίσω προφυλακτήρας της στα αριστερά επετάλλιζε. Κορίτσι μου! Δεν πρέπει να είσαι στο χάι-ουέι έτσι σκέδιον!! Πιάσε πάντα τζε τηλεφώνα για βοήθεια. Θέτεις σε κίνδυνο τους υπόλοιπος οδηγούς γύρο σου.
Σε κάποια φάση βλέπω την πιάνει πάντα τζε κατεβαίνει που το ροζούι Honda (το ξανά αναφέρω επειδή φακκά μου). Επιτέλους λαλώ. Έφιε τζαι τούτος ο κίνδυνος που τον δρόμο. Μετά που λίον βλέπω την πάλε στο δρόμο τζαι στην ίδια κατάσταση ο προφυλακτήρας.
Προσπερνώ την με την μέγιστη ταχύτητα να φύω που κοντά της.
Μετά που λίο, τζαι δαμέ σημειώνω πως εγώ επίενα 120χλμ/ώρα προσπερνούν με 1 saloon, 1 BMW X5 τζαι 3 μοτόρες μεγάλες με 200χλμ.
Να πάτε τζαι εσείς στο καλό, μουρμουρώ που μέσα μου.
Ακόμα λίον εννα το σκέφτεσε να κάτσεις πίσω που το τιμόνι για να πάει κάπου εκτός της πόλης σου.
No comments:
Post a Comment"
http://pellokattos.blogspot.com/2013/07/3-revisited.html,"Πριν 2 χρόνια, τον καιρό που εκατασκευάζετουν η 3η λωρίδα στον αυτοκινητόδρομο Λευκωσίας έγραψα ένα ποστ το πόσο ανίδεοι εν ορισμένοι στον τρόπο χρήσης της τζε πως στο μέλλον εννα χρησιμοποιείτε λανθασμένα που τους οδηγούς επειδή απλά εν ξέρουν πως (εν τζε φταιν οι οδηγοί φυσικά. Εν λογικό να μεν ξέρουν αλλά καμιά φορά εν λογική που χρειάζεται παραπάνω)
Η κίνηση του να δημιουργηθεί η λωρίδα εν αρκετά σωστή. Υπάρχουν παραπάνω δουλειές στην Λευκωσία παρά σε οποιαδήποτε άλλη πόλη τζε εν λογικό μιας τζε εν η πρωτεύουσα της χώρας, άρα πολλές εταιρείας διαλέουν να ανοίξουν δαμέ τα γραφεία τους. Τζε λόγο τούτου πολλά άτομα που άλλες πόλεις τζε γύρω χωρία έρκουντε Λευκωσία να δουλέψουν καθημερινά τζε δημιουργείτε αρκετή κίνηση στην είσοδο/έξοδο της.
Θα ήθελα να αναφέρω επίσης ότι η αστυνομία έκαμε την προσπάθεια της να εκπαίδευση τον κόσμο για τον σωστό τρόπο λειτουργίας των 3ων λωρίδων. Δηλαδή έτσι μου είπαν. Εγώ άκουσα για προστίματα που θα βάλλουν στα άτομα που κάμνουν λάθος χρήση των λωρίδων. Όπως τζε νάνε, η αστυνομία κάτι επροσπάθησε να κάμει για να μεν γίνουντε σοβαρά δυστυχήματα στον αυτοκινητόδρομο.
Παρόλο που βλέπω αρκετή βελτίωση στον δρόμο την ώρα που πάω κάπου, δυστυχώς πάντα θα υπάρχουν κάποια άτομα που απλά δεν θέλουν να μάθουν. 3 στις 5 φορές που θα φκω στον αυτοκινητόδρομο θα δω άτομο να πιένει με 90-100 στην μεσαία λωρίδα, κόσμος να προσπερνά που δεξιά (σωστό!) τζε κόσμο να προσπερνά που αριστερά (λάθος!) τζε μετά να μπαίνουν ξανά στην μεσαία λωρίδα, είτε επειδή στην δεξιά κάποιος πρέπει να προσπεράσει επειδή συνήθως πιένουν με όριο πάνω που 120km/h τζε ο άλλος στα αριστερά για να προσπεράσει κάποιον στην συγκεκριμένη λωρίδα.
Αρχικά είπα να δικαιολογήσω ορισμένα άτομα που κρατούν την μεσαία λωρίδα χωρίς λόγο με το ότι εν ηλικιωμένα άτομα που τον καιρό που επιάσαν άδεια είχε 5 αυτοκίνητα στον δρόμο (οκ, υπερβάλλω, είχε 200...πάλε εν λία όμως). Όπως μου είπε ο φάδερ, τον καιρό που έπιασε τζίνος άδεια εν είχε roundabouts με 2 λωρίδες τζε γι αυτό οι γέροι εν ξέρουν πως να χρησιμοποιήσουν τα roundabout τωρά. Δεν δικαιολογώ όμως άτομα που εν της ηλικίας 20-50 χρονών. Ναι οι 50ρηδες ενεν νέοι αλλά ενεν ανεπίδεκτοι μαθήσεως, έπρεπε να μάθουν ή τουλάχιστον να παρατηρήσουν τί γίνεται γυρώ τους στο δρόμο.
Κάτι τέτοιο έγινε την περασμένη εβδομάδα καθώς επίενα θάλασσα με τους πάρεντς. Η μάδερ δε άρκεψε τζε εμουρμούραν οτι εννα γίνει κάτι πολλά σοβαρό τζε μετά εννα γυρεύκουμεν το λάθος.
Ελπίζω να μεν φκει αλήθεια τζε μιας ακόμα εν πρόσφατες οι λωρίδες, περιμένω πως κάποτε να σάσουν τα πράματα τζε να μεν θρηνήσουμε άτομα.
(εν εκατάφερα να βρω κανονισμούς της Κύπρου στο θέμα. Αν το βρει κάποιος let me know)
No comments:
Post a Comment"
