url,article
http://pollopaiti.blogspot.com/2009/09/blog-post.html,"Έξοδος εψές πάλε. Πάντα νομίζω ότι εν να καταφέρω να ξυπνήσω την επομένη. Ζεν Φιούσιον για all you can eat sushi, τζιαι... εσηκωστήκαν οι τρίσηες μου ίσια πάνω όταν έμαθα την τιμή. 30 ευρώ για σχεδόν χαλασμένο ψάρι τζιαι αρκετά περιορισμένο μπουφέ, που αν δεν τους εκάμναμε τη χάρη να το φάμε ήταν να καταλήξει στους κάττους. Τέσπα. Με την σόγια έγινε οκέι. Μετά Οκτάνα, κρασί, τζιαι φουρ σπίτι. Φέφκουν δύο φίλες καλές σήμερα, και τη μια θα κάμω κάτι μήνες να την δω, οπόταν χαλάλι οι λλιόττερες ώρες ύπνου.
Αλλά, άμα ξυπνάς έτσι, εν λογικό να σε πιάει ο πέλλαρος.
Ξυπνητήρι 7:40. Σνουζ. 5 λεπτά. Σνουζ. Ακόμα 5. Σνουζ. ""Έχω το τωρά."" Αννοίουν τα μμάθκια μου τζιαι εν 8:08. Ξεκινώ δουλειά 8:30, τζιαι θέλω περίπου 15-20 λεπτά να πάω γραφείο, τζιαί αλλό 5 να σαστώ, στες καλές μου. Εν ήταν οι καλές μου σήμερα. Άμαν εξέμπλεξα το κολιέ που ήθελα να φορήσω που τα άλλα που ήταν τζιαμέ, ήβρα το φουστάνι μου μέστο ερμάρι που αποφάσισε να χωστεί (αν τζιαι τις προηγούμενες 3-4 μέρες εθωρούσα το ΣΥΝΕΧΕΙΑ μπροστά μου), έφκαλα την πλάτη μου επειδή έπιασε με ο πέλλαρος τζιαι έκαμνα σπαστικές κινήσεις, το σάνταλο μου αποφάσισε να μεν κλείσει εύκολα, τζιαι ήβρα τζιαι ούλλους τους αργόσχολους μπροστά μου μές τον δρόμο, έφτασα δουλειά. Επάρκαρα μέστο χωράφι που εβάλαν μια μπάρρα του Καραμοντάνη τζιαι εμεταμορφώθηκε σε πάρκινγκ, τζιαι ήρτα βουρητή πάνω.
Α, τζιαι ανακάλυψα ότι ένας φίλος μου μάλλον ε(ξανα)τράμπαρε μου τον αναπτήρα μου. Ανάγκασε με να στείλω hate message πρωί-πρωί.
Καλή σας μέρα.
Υ.Γ. Τι στο καλό;
http://www.guardian.co.uk/world/2009/sep/07/germany-aids-advertisement-hitler-stalin
Y.Γ. 2 Αποκλείστηκε ο Murray που το US Open. Να πελλάνουν οι Εγγλέζοι.
ξυπνητηρι στις 7.20 για μενα.ReplyDelete
σε νιώθω για τα κολιε.ατιμο πραγμα οι κόμποι...!
Σοβαρά, αν πιάσεις μια μάτσα κολιέ ή σύρματα ξεμπλεγμένα τζιαι τα βάλεις σε ένα συρτάρι τζιαι ξαναφκάλεις τα σε μια εβδομάδα, εν να φκουν δεμένα ναυτικός κόμπος.ReplyDelete
pollopaiti ise trella...sannan j akouo me emena!!sibasxon 2 k ego ime tsas ipoxondria!!ReplyDelete"
http://pollopaiti.blogspot.com/2009/09/blog-post_10.html,"Και χλωρός. Όι ποζάβλι όπως τους δικούς μου...καλώστηνα (on blogger since 2004?! what are you man?!)
Ναι μα είες τον; Άνθισε καλα.What am I? Κοτζιάκαρη! Τζιαι computer geek που τα νιάτα μου. Έχω κάτι μπλογκς πετάμενα ποτζί-ποδά. Τούτο εν φρέσκο. Όπως τον κάκτο (χοχο). Α, το 2004 ήμουν 18. Πφφφφ.
Πάντως για καλό και για καλό, κάμε μια έρευνα στο feng shui για το θέμα :)
Μαρίνε μου, εν έχω σωτηρία νομίζω :)
Και χλωρός. Όι ποζάβλι όπως τους δικούς μου...ReplyDelete
καλώστηνα (on blogger since 2004?! what are you man?!)
Ναι μα είες τον; Άνθισε καλα.ReplyDelete
What am I? Κοτζιάκαρη! Τζιαι computer geek που τα νιάτα μου. Έχω κάτι μπλογκς πετάμενα ποτζί-ποδά. Τούτο εν φρέσκο. Όπως τον κάκτο (χοχο).
Α, το 2004 ήμουν 18. Πφφφφ.
Πάντως για καλό και για καλό, κάμε μια έρευνα στο feng shui για το θέμα :)ReplyDelete
Μαρίνε μου, εν έχω σωτηρία νομίζω :)ReplyDelete"
http://pollopaiti.blogspot.com/2009/09/blog-post_11.html,"(high dose of sarcasm to follow)
Α τζιαι μιας τζιαι εσυνάφερα το, IT'S SARCARSM, NOT IRONY, μαδερφάκερς!
Το λοιπόν. Το λεγόμενο ουάου φάκτορ εξεκίνησε δυναμικά σήμερα, κάμνοντας την παρουσία του που τον ύπνο μου. Την πολύτιμη ώρα του ύπνου μου. Αλλά τζείνο εθυμήθηκα το πιο ύστερα, σαν οδηγούσα, γι'αυτό τα 'Ουάους' θα τα πάρω με τη σειρά που τα εκατάγραψε ο εγκέφαλος μου.
Ουάου Νο.1: Ξυπνώ τζιαι το αμπαζιούρ μου ήταν σβηστό. Ναι, τζοιμούμαι με αμπαζιούρ τη νύχτα, αλλά μόνο στην Κύπρο. Σε άλλη χώρα πρέπει να εν σκοτεινά για να τζοιμηθώ. Παραξενιές. Ένιγουέις (πιστεύκω άξιζε 2 τόνους τούτη η λέξη), σκέφτουμε ""Γαμώ το, πάλε έκρουσε η λάμπα"", θωρώ ποτζιεί, θωρώ ποδά, θωρώ ότι ούλλα μου τα ηλεκτρονικά εν εφκάλλαν μισό φωτούι, τζιαι καταλάβω πως έπεσε το ρεύμα. Πάω στο μπάνιο, αννοίω το παράθυρο, τζιαι έξω ήταν όπως την Δευτέρα Παρουσία. Ο ουρανός κάτασπρος με ένα ελαφρύ γκρι, τζιαι ένα φωτούδι να διαπερνά την ασπρίλα τζιαι να εξαπλώνεται τζιαι να σε κάμνει να κλείεις τα μμάθκια σου όπως τούτον . Ωραία.
Ουάου Νο.2: Αππάρεντλι σπίτι μας όταν κόφκεται το ρεύμα, κόφκεται τζιαι το νερό. Με χαρά σας ανακοινώνω ότι ενύφτηκα, έπλυνα τα χέρια μου τζιαι εβούρτσισα τα δόντια μου με Αύρα. Ούτε η Paris μας μπορεί να μεν έχει έτσι luxuries. Ευτυχώς τα camping trips around Europe το καλοκαίρι που επέρασε επροπονήσαν με καλά στις χίλιες και μία χρήσεις μιας μπουκάλας μεταλλικού νερού.
Ουάου Νο.3: Πάμε στα πιο ταραμένα. Πάντα λαλώ σε ούλλους μου τους φίλους ότι είμαι λλίο psychic, τζιαι εν με πιστέφκουν. Γάροι. Καλά, όι τζιαι μέντιουμ, αλλά τα όνειρα μου μερικές φορές προσπαθούν να εν in touch με την πραγματικότητα. Ας πούμε, μετά το trip down memory lane με την Αύρα στο μπάνιο, εθυμήθηκα ότι είδα όνειρο εμένα τζιαι κάτι φίλες να οδηγούμε για να πάμε Πόλη Χρυσοχούς!
Καλά έννεν τόσο κκουλ, παραδέχουμαι το.
Εν τω μεταξύ everything back to normal με τη Δευτέρα Παρουσία (εκτός που το ρεύμα, τζείνο πρέπει να εν κομμένο 'κόμα). Ο ήλιος να καίει τζιαι 'γω χαρωπά τα δυο μου χέρια να κτυπώ στο ταμπλό του αυτοκινήτου επειδή εξαναστάκκωσα στην κίνηση.
Ουάου Νο.4: Σαν οδηγούσα στην αγαπημένη μου Νίκης (εν ξέρω γιατί, δουλεύκει στροφές ο εγκέφαλος μου τζιαμέ, αλλόπως εν επειδή οι στροφές του αυτοκινήτου με δυσκολία περνούν τες 1000) εθυμήθηκα το άλλο μου όνειρο (πρέπει να σας έτυχε να ξυπνάτε τζιαι να τρώτε τη μέρα σας να προσπαθείτε να θυμηθείτε τι όνειρο είδατε εψές). Με μεγάλη ευτυχία εκατάλαβα ότι ο αγαπημένος πρώην εξαναπετάχτηκε μέστο όνειρο μου, τζιαι όι μόνο τούτο, ήταν μαζί με την κκουλ κοπέλλα που έφυε που τη δουλειά την περασμένη Παρασκευή τζιαι άφηκε κενό στο γραφείο πουπίσω μου. Τζίνη ήταν που τζίνους τους ανθρώπους που έρκουνται τζιαι φέφκουν που τη ζωή σου έτσι περαστικά αλλά αφήνουν ένα σημάδι. Γι'αυτό που το όνειρο ήταν δυσάρεστο. Επειδή άμα λέω ""ήταν μαζί"", εννοώ ""ήταν μαζί"". Ο γάρος. Να μου χαλάσει την εντύπωση που έχω τζιαι για ένα πλάσμα που εγνώρισα τζιαι έννεν ψωνισμένο, ούτε ήθελε ποττέ της να κάμει το Chartered. Εγύρισε μου, επειδή όποτε τον θωρώ εν η φάση που θέλω να του δώσω το double finger τζιαι να του παουρίσω ""Fuck you, and FUCK YOU!"", φάση Μπέργκερ (πρώην της Carrie, σάικκο, ανασφαλής, αλλά είχε Pulitzer γαμώ το) στο Sex and the City. Εν εφτάσαμε σε έτσι επίπεδα ακόμα, προς το παρόν όποτε διασταυρώνουνται οι δρόμοι μας απλά γυρίζω που την άλλη. Ναι, είμαι ώριμη κορούδα. Αν δεν ήταν πιασμένη η πλάτη μου ήταν να μου κάμω τζιαι ένα φιλικό ππατ-ππατ πάνω.
Ουάου Νο.5: (τούτο ΔΕΝ είναι σαρκαστικό) ΗΡΤΑ ΔΟΥΛΕΙΑ ΣΤΗΝ ΩΡΑ ΜΟΥ!!
Ουάου Νο.6: Επήα παλιά Λευκωσία εχτές τζιαι έφκαλα κάτι φωτογραφίες τζιαι εφκήκαν ωραίες τζιαι εχάρηκα.
ΥΓ Για τον ""παπά"" που εσκότωσε τον γιο του επειδή ήταν γκέι: ΜΠΡΑΒΟ ΡΕ ΚΤΗΝΟ. Μπράβο. Και εις ανώτερα. Εν τέρατα σαν εσάς που έπρεπε να επαίζαν.
ΥΓ2 Σιγά που ήταν να πιάσει η Ομόνοια τον Γιούρκα. Γαμώ το. Εν τζιαι ωραίο παιδί.
γειά σου κόρη πολλοπάιτη με τα όνειρα σου! συνέχισε να γράφεις τζιαι έσιεις χάζι :)ReplyDelete
Θέκκιου Αχάπαρη μου! Εν να προσπαθήσω, ελπίζω να μεν μας φαν τα Λοντίνα τωρά που εν να πάμε πίσω. Εψές εν επρόλαβα να δω όνειρο πάντως, εξύπνησα πριν την ώρα μου επειδή ενόμισα ότι ήταν να πάω δουλειά τζιαι άρκησα πάλε.ReplyDelete"
http://pollopaiti.blogspot.com/2009/09/blog-post_17.html,"Μην εισέλθετε στο ελεγχόμενο τετράγωνο εαν η γραμμή πορείας πέραν του τετραγώνου δεν είναι ελεύθερη. Δικαιούστε να εισέλθετε στο ελεγχόμενο τετραγώνο όταν θέλετε να στρίψετε δεξιά και εμποδίζεστε μόνο από ερχόμενα εξ αντιθέτου οχήματα.
Εν να χρησιμοποιήσω μιαν που τες αγαπημένες εκφράσεις της μάμμας μου (τζιαι νομίζω αρκετών μαμμάδων): ΕΦΚΑΛΕ Η ΓΛΩΣΣΑ ΜΟΥ ΜΑΛΛΙΑ. Πόσες φορές ρε μαλάκες. Κανεί. Κανεί. Είπαμε οδηγώ καλά για γεναίκα (ξύλο, κτυπώ ξύλο) αλλά εν εν ανάγκη να κάμνω ΤΕΣ μανούβρες για να καταφέρω να μπω στη λωρίδα που θέλω. Εκατάντησε (τζιαι) το οδήγημα διαγωνισμός. Κατ' ακρίβεια τούτο θα αποτελέσει ένα που τα μελλοντικά μου posts. Έχει καιρό που τα έχω μέσα μου τζιαι πρέπει να τα φκάλω.
Το προηγούμενο ποστ ήθελα να προκαλέσει κάποιους προβληματισμούς. Θα συνεχιστεί όταν δεν είμαι γραφείο, διότι αν έρτει κανένας να στείλει φαξ (εν πίσω μου το μηχάνημα) τζιαι δει τι γράφω νομίζω εν θα αφήσει την καλύτερη εντύπωση. Στο νου μου η απορία μου για την Σαμάνθα εν κάτι σαν τα ποιήματα του Ezra Pound. Φαίνεται μιτσή άρα εύκολο και ξεκάθαρο, αλλά έχει πολύ ψωμί η κουβέντα. Τουλάχιστον μέσα στο υπεραναλυτικό μυαλουδάκι μου.
Παρά τα σταθερότατα πρωινά νευράκια, αρέσκει μου το πρωί να ξυπνώ τζιαι να κάμνω την ρουτινούα μου. Όι τζείνη που μου επιβάλλεται από τα καθήκοντα,αλλά τζείνη που 'επιβάλλω' εγώ του εαυτού μου. Λατρεύω να διαβάζω το nymag.com σαν πίνω το φραπέ μου (μαύρο σκέττο πλις) τζιαι να ονειρέφκουμαι τα πράματα που εν να κάμω όταν μετακομίσω τζιαμαί(τζιαι γιατί εν έχει ανάλογο website για το Λονδίνο; To Timeout εν μετρά επειδή τζίντο site κάμνει σου τη ζωή σου δύσκολη, τζιαι εν τους πολλοεμπιστεύκουμαι καν). Το λοιπόν, τζιαι αρέσκει μου να ξυπνώ νωρίς όταν εν ωραία η μέρα τζιαι να νιώθω ότι έχω μια τεράστια μέρα μπροστά μου τζιαι ούλλες τες δυνατότητες του κόσμου να κάμω κάτι που θέλω. Εξαιρούνται οι ώρες στο γραφείο.
Εν είμαι συνήθως έτσι θετική, συγχωρέστε με. Είδα τζιαι το Up εχτές το απόγευμα με τα μωρά (όι τα δικά μου, αρκώ ακόμα, απλά ήταν ούλλο μωρά το σινεμά), τζιαι πρέπει να το πω αν τζιαι εν πολλά μπανάλ λογοπαίγνιο: ήταν πολλά ανεβαστικό (είπα σας το). Εσυγκινήθηκα και 2-3 φορές, αξίζει πραγματικά τον κόπο, και καταλαβαίνεις γιατί, αν και animation, άνοιξε το Φεστιβάλ στις Κάννες. Πραγματικά πάρα πολλά όμορφο.
No comments:
Post a Comment"
http://pollopaiti.blogspot.com/2009/09/blog-post_21.html,"...ποιός εν τούτος που εκέρδισε το Emmy τζιαι έκλεψε το που τον Hugh Laurie; Άτε να δω α!
Εν πειράζει, πόψε (σ.σ. αύριο in Rapidshare Time) εν η πρεμιέρα του Season 6 του House τζιαι είμαι πολλά ευτυχισμένη.
(Ετέλειωσε τζιαι η δουλειά τζιαι εν κάθουμαι μπροστά που το λάπτοπ ούλλη μέρα, γι' αυτό τζιαι ελλιάναν τα ποστς μου. Βασικά πνάζω.)
Σας φιλώ,
The Nicosia Tornado Survivor
status ""πολιτικές πεποιθήσεις"" στο facebook:hugh laurie!ReplyDelete
κι εγω τα πήρα!αν είναι ποτε δυνατόν!
ΤΑ ΥΣΤΕΡΑ ΤΟΥ ΚΟΣΜΟΥ!"
http://pollopaiti.blogspot.com/2009/09/blog-post_25.html,"Επήεν επισήμως τζιαι τούτο το καλοτζαίρι (για τους φοιτητές μετρά τζιαι ο Σεπτέμβρης). Εκάμαμεν τες δουλειές των τελευταιών ημερών (δηλαδή της τελευταίας στιγμής), επήαμεν τους γιατρούς μας, επεράσαμεν ένα μικρό scare (ήταν σιέσιμο βασικά, αλλά τελικά τίποτε ανησυχητικό), εβάλαμε τζιαι τα εμβόλια μας (άρκεψεν το χέρι μου να γίνεται ταούλλιν ήδη) τζιαι εμπήκα στη φάση που ακουώ progressive rock, trip hop τζιαι οτιδήποτε άλλο κάμνει σε τζιαι νιώθεις νάκκον ""αλλού"" άμαν το ακούεις. Εν η αλλαγή του καιρού, μυρίζεσαι το γυρώ σου, ο κόσμος ηρεμά λλίο, τζιαι η διάθεση του καλοκαιριού φέφκει σιγά-σιγά για να μπει στον τόπο της το κλασσικό καθημερινό άγχος της ρουτίνας (το οποίο θα νικήσω - ΧΑ!)
Τα resolutions μου αρέσκει μου να τα κάμνω έτσι καιρό, διότι η Πρωτοχρονιά εν σκατά τζιαι εν πολλά καταθληπτική. Εν μου εμπνέει να αλλάξω τίποτε πάνω μου, απλά κάμνει με να θέλω να μείνω στο κρεβάτι μου για πάντα. Τωρά, οι μπαταρίες γεμίζουν (σε αντίθεση με τα Χριστούγεννα που σπάζεις που το φαϊν τζιαι ρυάς τζιαι θέλεις να τους παίξεις ούλλους με το σιηπέττο), τζιαι θωρείς τα πράματα με λλίην παραπάνω αισιοδοξία. Μιας τζιαι εν με ξέρετε, έτσι εν θα κάτσετε πάνω στα τζιέρρατα μου, ορίστε τι θέλω να κάμω:
- Λοιπόν, θέλω να κόψω το κάπνισμα. Εν να έρτει σιγά σιγά, πάντα ελαλούσα εν να το έκαμνα όταν θα εμείνισκα έγκυος αλλά εν το θωρώ να έρκεται τζιαι οι πνεύμονες μου αρκέψαν τα παράπονα.
- Θέλω να μάθω να παίζω καινούριο μουσικό όργανο. Ντραμς εν μπορώ λόγω έλλειψης χώρου στο φλατ στο Λονδίνο, έτσι μάλλον βιολί ή κάποιο πνευστό.
- Θέλω να σταματήσουν να με κόφτουν ορισμένα πράματα.
- Θα δω ούλλα τα έργα στη λίστα μου.
Sopranos or Mad Men?
εγω βλεπω το fringe και εχω πορωθει..ReplyDelete
Πολλοπάητη καλήν αρχήν. Hurray για τα resolutions, ειδικά για πρώτο, και εγώ τα ίδια ελάλουν (από τα 23) για το τσιγάρο. Ευτυχώς δεν εχρειάστηκε να μείνω έγκυος για να το κόψω :PP μιχιχιχιReplyDelete
heh tziai egw etsi kairo kamnw ta resolutions mou, logw tou kairou pou allazei tziai endiknitai i perisillogi.. gia fetos omws enexw resolutions, prepei na anisixisw?ReplyDelete
Θέλετε να κάμουμε δικό μας club/κίνημα/αίρεση που να ξεκινά το νέον έτος τον Σεπτέβρη;ReplyDelete
καλή επιτυχία με το κάπνισμα!
Thanks guys. Πάω τα καλά πάντως, έχει που τα εψές να καπνίσω. Στόχος 1: να μεν καπνίσω ώσπου να φτάσω Λονδίνο.ReplyDelete
Εγώ γουστάρω πολλά η Πρωτοχρονιά να εν Σεπτέμβρη. Ένι που ένι κατάθλιψη, ας την βάλουμε τζιαι μετά το καλοκαίρι έτσι για το γαμώτο.
Αχάπαρη, μεν ανησυχάς μάνα μου. Εμείς που τα βάλλουμε κάμνουμε τα;
Πράσινη νεράιδα, το Fringe τι φάση ένι; Σημείωση είμαι άρρωστη με House, True Blood τζιαι Weeds, τζιαι όταν ετέλειωσα το Six Feet Under έπαθα μίνι-κατάθλιψη. Έτσι για να έχεις υπόψη τα γούστα μου/την πελλάρα μου.
νομιζω θα σου αρεσει...ReplyDelete
ειναι λιγο sci-fi,με λιγο αστυνομικοπεριπετεια, γκομενοδουλειες κλπ κλπ.
το πρωτο επεισοδιο μαλλον θα σε ξενισει.δες μεχρι το τριτο,και μετα αποφασισε αν θα το παρατησεις..."
http://pollopaiti.blogspot.com/2009/09/malakea.html,"koloxarto me vides....axaxaxaxa polla kalo
xaxaxa...etsi pou periergia tha gorazame kai to koloxarto
χαχαχαχαχαχαεγω θελω να δω ινταλως συναρμολογουν τουτον που εβαλες στην φωτογραφιαν γιατι εχω τζιαι γω καποιες αποριες (αν φκαινει ενναν μεγαλη βοηθεια)
λιγα τα λογια σας για το ναο!
@Richie - Δυστυχώς εν σεντόνια. Που την άλλη μπορεί να έρκουνται με σετ ραπτικής. Να μεν κάμουμε το DIY μας;@Νεράιδα - Θέλεις τζι' άλλα;
koloxarto me vides....ReplyDelete
axaxaxaxa polla kalo
xaxaxa...etsi pou periergia tha gorazame kai to koloxartoReplyDelete
χαχαχαχαχαχαReplyDelete
εγω θελω να δω ινταλως συναρμολογουν τουτον που εβαλες στην φωτογραφιαν γιατι εχω τζιαι γω καποιες αποριες (αν φκαινει ενναν μεγαλη βοηθεια)
λιγα τα λογια σας για το ναο!ReplyDelete
@Richie - Δυστυχώς εν σεντόνια. Που την άλλη μπορεί να έρκουνται με σετ ραπτικής. Να μεν κάμουμε το DIY μας;ReplyDelete
@Νεράιδα - Θέλεις τζι' άλλα;"
http://pollopaiti.blogspot.com/2009/09/michael-jackson.html,"Είδα το πριν λλίο τούτο
http://www.mtv.com/movies/news/articles/1621242/story.jhtml
τζιαι επιάστηκε η καρδία μου. Την περασμένη Πέμπτη ήταν να ήμουν στο Ο2 να τον θωρώ τζιαμαί, ζωντανό, να κάμνει ότι ήξερε να κάμνει καλλύττερα, να κάμνει τζείνο που ήρτε στον κόσμο τούτο για να κάμνει, τζείνο που τελικά τον εσκότωσε αλλά τζαι που θα τον κρατά ζωντανό για πάντα.
Για μένα ο Michael Jackson εν ήταν απλά μοναδικός, ήταν η παιδική μου ηλικία τζιαι η ζωή μου έγινε πολλά πιο φτωχή που τη μέρα που έφυε, αλλά τζιαι θα ήταν πολλά πιο φτωχή αν δεν έρκετουν ποττέ σε τούντον κόσμο. Εν τον εγνώρισα ποττέ, εν είχε ποττέ ιδέα ποια είμαι, τζιαι ανεξαρτήτως του τι επροσπαθήσαν να πουν πάρα πολλοί για να φκάλουν κέρδος πάνω του, το κενό που άφησε στη ζωή μου, όπως και στη ζωή του κάθε θαυμαστή του, εν τεράστιο, και θα τον πεθυμώ πάντα.
εν πράμαν τζι εμενα!!!!!!!ReplyDelete"
http://pollopaiti.blogspot.com/2009/09/sex-and-little-town-1.html,"Μια απορία, και τα υπόλοιπα άλλη φορά: Αν η Σαμάνθα που το Sex and the City εζούσε στην Κύπρο, θα εθεωρείτουν πουτάνα;
χαχαχαχαχαχαχαετσι οπως τα καμαμεν εν τζιαι λιον που λαλεις
err, γιατί οι άλλες εν καλλύττερες; Cypriotically speaking.
κάτι άσχετο.πολλοπαητη τι σημαινει???
@πράσινη νεράιδα - σιεροκουτάλα!@ Richie, Sike - Cypriotically speaking τζιαμέ το πάω. Πουριτανοί γαμιάδες. Ακόμα ένα κυ(ο;)πριακό οξύμωρο.
νομίζω ότι εκτός που σιδερένια κουτάλα σημαίνει τζιαι τετραπέρατη/κοψονούρισσα/μέσα σ'όλα/πονηρόπελλη.. ορ σάμθιγκ.
χαχαχαχαχαχαχαReplyDelete
ετσι οπως τα καμαμεν εν τζιαι λιον που λαλεις
err, γιατί οι άλλες εν καλλύττερες; Cypriotically speaking.ReplyDelete
κάτι άσχετο.ReplyDelete
πολλοπαητη τι σημαινει???
@πράσινη νεράιδα - σιεροκουτάλα!ReplyDelete
@ Richie, Sike - Cypriotically speaking τζιαμέ το πάω. Πουριτανοί γαμιάδες. Ακόμα ένα κυ(ο;)πριακό οξύμωρο.
νομίζω ότι εκτός που σιδερένια κουτάλα σημαίνει τζιαι τετραπέρατη/κοψονούρισσα/μέσα σ'όλα/πονηρόπελλη.. ορ σάμθιγκ.ReplyDelete"
http://pollopaiti.blogspot.com/2009/09/take-walk-on-wild-side.html,"'...and the coloured girls go doo, doo-doo, doo-doo...'
Κάπως έτσι ξεκίνησε το πρωινό της Πέμπτης μου. Αντρέπουμε να πω τι ώρα εσηκώστηκα σήμερα καν, ασχέτως ότι εν επήα πούποτε εψές. Νιώθω 100 χρονών τζιαι πρέπει να κάμω κάτι να ανανεωθώ. Ξέρω τη λύση. Το πρόβλημα εν ότι εν είμαι σε κατάσταση για ""γυμναστική"". Έφκαλα την πλάτη μου εχτές που τ'αλήθκεια αλλόπως! Πονώ πολλά, εζάωσα(είμαι τζιαι λλίο υποχονδριακή, νομίζω πρέπει να το έσιετε υπόψην τούτο για μένα).
Που λέτε. Ναι. Take a walk on the wild side.
Άκουα το σήμερα στο ράδιο τζιαι έσουζα την κκελλέ μου τζιαμέ που εν τα φώτα της Νίκης (άψε 3 φορές το πράσινο ώσπου να καταφέρω να πάω απέναντι, είχε πάντα κάποιο ΜΑΝΝΟ πάστα ελεγχόμενα τετράγωνα τζιαι έκοφκεν το δρόμο). Λλίο cheesy να έχει επήρρεια πάνω μου τούντο τραγούδι, που τη στιγμή που έχω κάπως ""eclectic"" music taste τζιαι σνομπάρω/περιπαίζω αρκετή μουσική (χωρίς να σημαίνει ότι εν ξέρω τα λόγια του Όταν Σε Είχα Πρωτοδεί των Professional Sinnerz), αλλά εσκέφτηκα ότι ταιριάζει κάπως επειδή είχα ένα ψευτοδίλημμα τελευταίως τζιαι κλίνω προς το να το κάμω τζιαι φακ ιτ όσο περνούν οι μέρες (τζιαι κοντέφκει ο καιρός να φύω να πάω πίσω Λονδίνο, τελειώνει η ζωή!)
Γενικώς στη ζωή εν οι εμπειρίες που μετρούν, που εν κάτι χειρόπιαστο που μπορείς να βάλεις το δάκτυλο σου πάνω σε ένα χρονικό σημείο τζιαι να πείς ""Δαμαί έγινε το τάδε"". Όι ""Δαμαί εσκέφτηκα το τάδε"". Οι σκέψεις τρων σε ζωντανό μερικές φορές, τζιαι που το πολλύ το σκέψιμο μπορεί να μεν πάεις ποττέ στη δράση. Τούτο λέω το ως άνθρωπος που πάντα ήταν thinker παραπάνω που doer, τζιαι εκατάλαβα πως όσες φορές ήμουν doer, ήμουν χάππι.
Πε τους τα ρε Λου:
No comments:
Post a Comment"
