article;lang
Το χωρίο μουνα έτον νάμεσα σα τρανά nτα;pontic
χλωά τα ραχία όπου τον Ήλο πα πολλά nουκ;pontic
έλεπαμε Έτονε απές σ όρος και nχτισμένο;pontic
σε έναν κυλάδι απές γομάτο με nτα δέντρα;pontic
Σ όρος εβρίσκουσαν Αλάτε nΤεζία Οξέας;pontic
Κλερθία Κάστανα και άλλα nπολλά Είχεν;pontic
έναν σουρί ορμία τ nεκατίβεναν τρεχτά σο;pontic
ποτάμι τ nεμοίρεζεν το χωριό σα δυο Λές;pontic
κι nεθέλεναν να προφτάνουν το ποτάμι για;pontic
ν nεκατίβαζεν ατά ση θάλασσα Ούλα τα;pontic
νερά nακόμε και του ποταμή επιησκούσαν;pontic
nΕίχαμε και πολλά ολοκάθαρα ολοκάτενα;pontic
nπεγάδε το έστεκαμ και έπιναμε Ανάμεσα n;pontic
μουνα συντυχεναμ Ρωμεικά Εθάρεναμ;pontic
nούλος ο ντουνιάς μαναχό το χωριό μουνα;pontic
nέν και ούλοι οι άνθρωποι Ρομεικά;pontic
nσυντυχαίνουν;pontic
Το χωρίο μουνα είχε και Παρχάρι Όντα;pontic
nεπέ γ ναμ σον παραχάρι ασή χαρά μουνα;pontic
nεπέταναμε Σου ζου τα γούλας εκρεμάναμε;pontic
nκολονόπα και σα κατσέτε τουνα nεκρεμάναμε;pontic
κάτι σούσε Εκρεμάναμ ατά nπα ζνιχόπα για;pontic
να μην οματέγουνταν nΆετς εσορέυκουμουνες;pontic
πατσίδε νιφάδε nπαιδία αγούροι και;pontic
υναίκοι ούλοι nεντάμα με τα ζα παρακαθευτά;pontic
παρακαθευτά nεμπέναμε σο δρόμο πριν;pontic
ημέρωνε Σα δρόμε nεπανκές σατι επέ γ;pontic
ναμε εράεβαμ nέβρισκαμ και εσωρεύαμε;pontic
μόρε και nετρώγαμε Κάπου κάπου εγριμάλωναμ;pontic
και nεντόναμ επάν σ ατά τ έβρισκαμ nΌνταν;pontic
έγβαιναμε σε πλατή μέρος το είχεν;pontic
nπεγάδι έστεκαμε και ένοιζαμ τα nδαπάνας;pontic
μουνα και έτρωγαμ Έπιναμε nτο νερό μουνα;pontic
και εποτίζαμε και τα ζα n μουνα Πάντα;pontic
επεντούσαμε και σε άυτικο nτόπο έναν;pontic
καβαλτζή Εκείνος έπαιζεν το nγαβάλιν;pontic
χειλιαύλιν ατ και εμείς nεχορεύαμε;pontic
Ύσταρο ο κάθα εις εδέβαινεν nσο δρόμον;pontic
ατ Εμείς τα αγουροπαίδε ως nπου έγβαιναμ;pontic
σον παρχάρι ετέρεναμ nτα πατσόπα και;pontic
εποίναμ σεβνταλούχε Σον nπαρχάρι ας τ;pontic
επέ γ ναμε εβρισκούμουνες nκαι παρακάθεβαμ;pontic
επαίζαμ και nεχόρευαμ Σον παρχάρι όλον;pontic
όμορφα nεπέχκουσαν η πλάκα το οποίο;pontic
επέχκουτουν nμε τα πλακούτσε τα λιθάρε;pontic
και η μάτικα nτο οποίο επέχκουτουν με τ;pontic
έναν nστουρακί και ένα μικρό μακριτσέλι;pontic
nξυλόπο Τα ζα εδόναμε σε έναν τσοπάνο;pontic
nκαι ούλιν οι άνθρωποι εκευρόκοφταν τα;pontic
nχορτάρε σα κεγίρε τουνα Πολλοί;pontic
nεκατήβεναν σ όρος και έκοφταν ξύλα;pontic
nΟύλα τα θερινά ημέρας και τα μήνας άετς;pontic
nεδέβαιναν Όνταν εκλώσκουμουνες ασόν;pontic
nπαρχάρι τα μάγουλα μουνα είνουσαν;pontic
nολοκόκκινα όμον αμόν μήλα Έκαφτε μας ο;pontic
nήλος και εμαυρίζαμε πα;pontic
Ύσταρο εθράφαμε και γάλε γάλε εγρίκεσαμ;pontic
nότι ασό χωρίο μουνα και εξέθε είναι nκαι;pontic
αλέτερα πολλά χωρία Είναι και πολύ;pontic
nξένοι τ ούκ εξέρουν τ εμέτερο τη nγλώσσα;pontic
Οι μέτεροι εσυντύχαιναν Ρωμεικά nκαι οι;pontic
ξένοι εσυντύχαιναν τούρκικα nΚρούει σο;pontic
νού μ όνταν έρθεν ένας ξένος nσο σπίτι;pontic
μουνα για ν εγόραζεν τ αγελάδι nτο;pontic
είχαμε Ο κύρη μ και εκείνος κάτι;pontic
nεσυντύχαιναν Εγώ άκουγα τίνους άμα;pontic
nτίπο ουκ εγροίκενα Όνταν επεί γ εν;pontic
nεκείνος ο ξένος ερώτεσα τον κύρη μ nγιατ;pontic
οποίο ουκ εγροίκεσα το έλεγαν Είπε nμε;pontic
ότι τούρκικα εσυντύχαιναν και nγια τ ατό;pontic
ουκ εγροίκεσα Ετότες nαρνάσεψα αρχίνεψα;pontic
