article;lang
κατσοσιοιρίν που τον ελαλούσαν;cypr
Ζαομούν;cypr
 Ο Ζαομούς ήταν έναν κατσοσιοιρίν;cypr
παράξενον Ούλος ο κόσμος αγάπαν τον μα;cypr
τζείνος ελάλεν πους εν αγάπαν κανέναν;cypr
Όποτες ετόλμησεν ν αγαπήσει έναν;cypr
πλάσμαν εσιέρετουν η ψυσιή του μα;cypr
μόλις το παίρναν χαπάριν οι άλλοι;cypr
κατσόσιοιροι εφήρνουνταν που τα γέλια;cypr
τζι αρκέφκαν να τον πειράζουν Βουράτε;cypr
να δείται τον Ζαομούν που σιαίρεται;cypr
 Ο Ζαομούς ήταν αντροπιάρης Κάθε φοράν;cypr
που γελούσαν οι άλλοι μιτά του εκόφκετουν;cypr
η μουτσούνα του;cypr
 Η αγάπη εγίνην αντροπή Κάθε φοράν που;cypr
αγάπαν εσήκωννεν τ αγγάθκια του;cypr
εσυνάετουν μες τα πετσιά του εκαούρωννεν;cypr
τζι αγάπαν εις τα κρυφά;cypr
 Ο Ζαομούς εμίσαν το κακόν που τα βάθη;cypr
της ψυσιής του Κάθε φοράν που οι;cypr
κατζιοί κάμναν μιάν αδικίαν έκρουζεν;cypr
τον ο θυμός σαν το λαμπρόν Τζαι τα άλλα;cypr
κατσοσιοιρκά εθυμώννουνταν τζαι πολλές;cypr
φορές αφτύνναν του κακούργου κατάμουτρα;cypr
Ο Ζαομούς όμως εν έφτυννεν κανενού Κάθε;cypr
φοράν που εδοτζιήμασεν να ποθυμάνει πας;cypr
έναν κακόν οι άλλοι κατσόσιοιροι;cypr
εξιχάνναν τον θυμόν τους τζαι εφύρνουνταν;cypr
που τα γέλια μιτά του;cypr
 Κάθε φοράν που εθύμωννεν εσήκωννεν;cypr
τ αγγάθκια του ασυνάετουν μες τα;cypr
πετσιά του εκαούρωννεν τζι έκλαιεν εις;cypr
τα κρυφά;cypr
 Ο Ζαομούς ήταν έναν κατσοσιοιρίν;cypr
τετραπέρατον μα ένωθεν βλάκας σαν το;cypr
κολότζιν Όποτε έβρισκεν μιαν όμορφην;cypr
λύσην σ εναν πρόβλημαν έκαμνεν μεάλην;cypr
χαράν Οι άλλοι ελαλούσαν του πράο μα;cypr
εφτύς εφύρνουνταν που τα γέλια Ο;cypr
Ζαομούς έχασεν την χαράν να κάμνει;cypr
παιγνίθκια της σκέψης Ενόμιζεν πους οι;cypr
άλλοι επεριγελούσαν τον πους έπαιζεν;cypr
τον έξυπνον;cypr
 Όποτες είσιεν μιαν φαϊνήν ιδέαν;cypr
εσήκωννεν τ αγγάθκια του εσυναετουν;cypr
μες τα πετσιά του εκαούρωννεν τζι;cypr
εσιαίρετουν μες τον κόσμον του;cypr
 Ο Ζαομούς ήταν ένας κατσοσιοιρος;cypr
γενναιόδωρος μα ποττέ εν εμοιράζετουν;cypr
τίποτε με κανέναν Όποτες εβοήθησεν;cypr
έναν πλασμαν εις την ανάγγην ένωθεν;cypr
μιαν ανακούφησην να του πραύνισκει την;cypr
ψυσιήν του μα μόλις ένωθεν τουν την;cypr
συγκίνησην οι άλλοι εφύρνουνταν που τα;cypr
γέλια Ενόμιζεν πους τον επιάνναν για;cypr
πλάσμαν υστερόβουλον που εδίαν σήμμερα;cypr
για να καρπωθεί τα διπλά αύριον;cypr
 Η ευκαρίστηση του να μοιράζεται τον;cypr
πόνον τζαι την χαράν εγίνην αντροπή;cypr
