article;lang
πού τίπουτα δέντρα άγρα κάνας τσέρους ή κάνας φράψους ανάμισα στς χράπις ;nothern
τίπουτα λαγόξυλα κι καμνιά ρίζα κανdιλίνα να μουσκουβουλάει τουν Μάη κι να;nothern
μαζώνουνdι τα μιλίσσια γύρου γύρου Νιρό ντίπ ούτι δράμ ;nothern
Ένα καλό μούνγκι έχ αυτό του μέρους είνι προυσήλιου Δέν του παίρν ου;nothern
βουράς τουν χειμώνα κι ουόσου χιόν κι άν πέσ του κόβ η πέτρα κι μαυρίζ ώς;nothern
του μισ μέρ όλου του πλάι ;nothern
 ;nothern
Αυτού διάλιξαν να ζήσν προυτού πιντακόσια χρόνια οι πινήντα φαμπλιές μι;nothern
αρχηγόν τουν παπα Γκίκα να φκιάσν τα σπίτια τς κι να πούν του χουριό τς;nothern
 Κόζιαν ;nothern
Κίν τσαν απ τα χουριά τς Πριμιτής σήκουσαν ουότ νοικουκυριό μπουρούσαν;nothern
να πάρν κι τί βαστούσαν τα πράματα φουρτουμένα άφκαν τα κτήματα τς όπους;nothern
ήταν κράτσαν στου νού τς τ όνουμα Σκΐρκα γιατι Σκΐρκα είχαν κι στουν τόπου;nothern
τς κι ήρθαν κι τόγραψαν μι ζουντανά γράμματα ουπάν στα καταράχια Κουντά στ ;nothern
άλλα ήφιραν κι του έθιμου τς Απουκράς ;nothern
Κάθι άνθρουπους σι κάθι τόπουν ζάει μι τουν θκό τ τουν τρόπου ου καμπίσιους;nothern
στουν κάμπου δλέβ μι τα χέρια δέ σκουτίζ κι πουλύ του μπυαλό τ η γής βγάν ;nothern
όλα τα καλούδια να πιράσ καλά ;nothern
Ου βνίσιους θέλ να στύψ του μπυαλό τ να καταφέρ να τα φέρ βόλτα κι;nothern
αυτός απ κάθιτι στα τρόχαλα κι στα καταράχια θέλ να βάλ έμ του μπυαλό τ έμ τα;nothern
χέρια τ κι τα πουδάρια τ να καταφέρ να ζήσ κι να προυκόψ ;nothern
Σκληρή η πέτρα σκληρός κι αυτός απ ζάει μιτιαυτήν μπισαλής μι του φίλου ;nothern
στιμάρ τουν λόγου κι μιτράει τουν άλλουν μι του μάτ Δέν ξέρ πουλλά μασλάτια ;nothern
αλλα λίγα κι μιτρημένα ;nothern
 9 ;nothern
Λ Κουζιάκης;nothern
Άπλουσιν η Κόζιαν κατα τα ισιάδια ήρθαν κι άλλις φαμπλιές απ τα γύρου χουριά;nothern
 ουόλ χριστιανοί κι άλλ απου μακρύτιρα πέρασαν τα χρόνια αλλα οι Σκαρκιώτ ;nothern
δέν ξέφυγαν κι πουλύ απτιαυτά πούξιραν ;nothern
Τα κασ μέρια κι τα κάχα μπάχα πουλιτεύουντι ώς τα σήμιρα Κρατιούντι οι ρίζις;nothern
καλά κι αυτοί π ζούν στ Σκΐρκα τα καταλαβαίν ν καλύτιρα απ τουν καθένα ;nothern
 0 ;nothern
 Ου θέρους;nothern
Βαρύς ου χειμώνας στουν τόπου μας κι μακρύς κρύου πουλύ κι χιόν φτώχια κι;nothern
προυκουπή ντίπ Όλα λειψά κι δύσκουλα κι ου κόσμους μαζουμένους μέσα ;nothern
καρτιρούσαν πότι τα γιλάσ ου Μάρτς ν απλώσ του κουρμί τ ου πάσα ένας ν ;nothern
ανοίξν οι δλειές να φάει ψίχα ζιστό ψουμί ;nothern
Χαραή χαραή έβγιναν οι άντρ στου προυσήλιου κι συζητούσαν ουότ ;nothern
γένουνταν κι δέ γένουνταν ανάφιρναν του ένα ήλιγαν τ άλλου κι στουν πάτου;nothern
σταματούσαν όλ στουν καλό τουν λόγου ;nothern
Πότι ταρθεί ου κιρός να κινήσουμι για τουν κάμπου τς Λάρσας να πάμι στουν;nothern
θέρου ;nothern
Μαζώνουνταν;nothern
παρέις παρέις ;nothern
γένουνταν;nothern
μπλιούκια ;nothern
παζάριβαν ;nothern
συμφουνούσαν τ μάζουνταν Ανακάτουναν στα νταβάνια απ τα σπίτια κι;nothern
κατέβαζαν τα διρπάνια τς παλαμαρές τα λαδάκουνα τουν κλιτσινίκου Τα;nothern
μάζουναν όλα στουν τρουβά κι καρτιρούσαν μι μιράκ πότι τα φέξ η καλή η μέρα ;nothern
να κινήσν ;nothern
1;nothern
Πρώτους στου σαλαβάτ κι σν ανακατουσιά ου Λιόλιους απ του Κιραμαριό ;nothern
 Άιντι Πότι τα κινήσουμι Τί αργούμι φέτου Τα μας προυφτάσν οι άλλ κι τα;nothern
μας τσακώσν τα κουνάκια ;nothern
Τουν τσάκουνιν η φούρια τουν έρμου πνούσιν όλουν τουν χειμώνα κι;nothern
λουγάριαζιν να χουρτάσ στουν κάμπου ;nothern
Οι παρέις του βάριναν κι ψίχα στ ψέκα γιατι τουν ήξιραν απ δέν ήταν κι;nothern
πουλύ δουλιφτάρς όλου μπέντια κι κουραχάνια ήταν Αλλα δέν τουν άφηναν πάλι;nothern
έτσ πότι η μιά παρέα πότι η άλλ τουν έπιρναν κουντά τς κι τουν είχαν ουόχ να;nothern
θιρίζ αλλα να βουηθάει τουν μπαλατζή να μαζών τς χιρές ;nothern
 στη φασαρία και στην ανακατωσούρα ο Γιώργος απ τη συνοικία Κιρ α μαριό ;nothern
Έκφρ του βάριναν στ ψέκα αδιαφορούσαν ;nothern
 1 ;nothern
 Άιντι ρα Λιόλιου ιμείς τα σι πάρουμι φέτου Σην παρέα μας τανάσι Τα;nothern
πιράσουμι καλά ;nothern
Μάης μήνας ύστρα απ τ Άη Κουσταντίν κίν τσιν η παρέα για τουν θέρου ;nothern
Σκαρκιώτ οι παραπάν ήταν κι καμόσ Κιρμαριώτ ;nothern
Ου Μήκας μπρουστά αρχηγός καβάλα στου γουμάρ μι τα σιέα;nothern
φουρτουμένα άλλ παραπίσου μι τα πράματα οι νιότιαρ μι τα πουδάρια στουν;nothern
πάτου αντάμα κι ου Λιόλιους απ του Κιρμαριό ;nothern
Ίσια μι ν ώρα να νυχτώσ ήταν στ Βαν τσιόστρατα κατα τα μισάνυχτα;nothern
πέρασαν του πουτάμ στουν πόρου τς Κισαριάς κι μιά ώρα πρίν να φέξ ήταν στου;nothern
Γκλίγκουβου Σαραντάπορο κι σταμάτσαν στ Βίγλα να πάρν μιά ανάσα να;nothern
ξιαπουστάσν Ξιφόρτουσαν τα γουμάρια τιντώθκαν ξάπλωσαν κι αυτοί ψίχα ;nothern
ώσπου να πάρ η μέρα να κινήσν τουν κατήφουρου ;nothern
Ιέφιξιν για τα καλά κι πώς βάρινιν ου ήλιους σ κώθκιν ου Λιόλιους ουρθός ;nothern
ανέφκιν σι μιά πέτρα έβαλιν του χέρ ασκιάδα κι τήρσιν κατα τ Λάρσα στουν;nothern
κάμπου Σήκουσιν ύστρα τα χέρια σιαπάν κι φώναξιν στς άλλνους ;nothern
 Όι Τήρατι ρα σιακάτ Τήρατι τουν κάμπου Τήρατι βιό ου Θός μαναχός τ ;nothern
Τήρατι προυκουπή απόχ ου κόσμους θάλασσα τα γιννήματα Βλουημέν ;nothern
Θισσαλία ;nothern
Είπιν καμόσα κόμα κι ύστρα γύρσιν κατα ν Κόζιαν σήκουσιν πάλι τα χέρια ;nothern
άνξιν τς απαλάμις κι χίρσιν να μουτζών ;nothern
 Νά Βιράνγκ Μακιδουνία Ψόφσαμι απου ν πείνα κι απ του κρύου όλου τουν;nothern
4;nothern
χειμώνα Κάτ καλά τα παϊαίνουμι στ Θισσαλία να χουρτάσουμι ψουμί ;nothern
Γέλασαν όλ μι τα λόια πούλιγιν ου Λιόλιους τοίμασαν τα σιέα τα φόρτουσαν;nothern
στα πράματα κι κίν τσαν τουν κατήφουρου για τουν κάμπου Ου Μήκας σάν;nothern
τρανύτιρους κνούσιν του κιφάλ κι ήλιγιν μαναχός τ ;nothern
 μερικοί ;nothern
 πέρασμα στον Αλιάκμωνα ;nothern
 κι όπως ανέτελλε ο ήλιος ;nothern
 ευτυχώς ;nothern
 ;nothern
 Άιντι ρα Λιόλιου στάσ πρώτα να φτάσουμι στ Λάρσα να σι βάλουμι στουν;nothern
ζ γό κι τότι τα ιδούμι πόσου τα σ αρέσ η Θισσαλία ;nothern
Σουρουπιάζουντας έφτασαν στου χουριό ψίχα παρακάτ απ τουν Τούρναβου ;nothern
Σταμάτσαν σι κάτ τσιαΐρια κι αγνάντιβαν τα γιννήματα στιάρια κθάρια πούταν;nothern
έτοιμα για θέρουν ;nothern
Ου Μήκας σέφκιν στου χουριό βρήκιν τς νοικουκυραίοι Αυτοί τουν δέθκαν;nothern
 γιατι τουν ήξιραν κι απ τ άλλα τα χρόνια τουν κέρασαν ρακή κι συμφών τσαν να;nothern
χιρήσν τουν θέρου μι ν αράδα απ τουν έναν στουν άλλουν ώσπου να σουθούν;nothern
όλα τα χουράφια ;nothern
Γύρσιν στου μπλιούκ τς είπιν τα χαμπέρια κι χάρκαν ουόλ Έστρουσαν τα;nothern
τσιόλια στα τσιαΐρια να ξιαπουστάσν κι να κοιμθούν ;nothern
Μιά ώρα προυτού να φέξ σ κώθκαν τοίμασαν τα διρπάνια τς παλαμαρές ου;nothern
μπαλατζής τουν κλιτσινίκου τς φτσέλις μι του νιρό κι σέφκαν στου πρώτου του;nothern
χουράφ μπρουστά ου Νικόλας πρώτου διρπάν απου κουντά οι άλλ καθένας;nothern
 ν αυλακιά τ ου μπαλατζής ουρθός κι στουν πάτου ου Λιόλιους μι τα χιρόβουλα;nothern
στα χέρια να τα στρών καταής ένα ένα κι να μαζών τς χιρές σι διμάτια ;nothern
Σιγά σιγά η δλειά πιρπατούσιν η ώρα πιρνούσιν η ζέστα άναβιν κι ου ήλιους;nothern
ανέβινιν ψηλά κι σι βάρινιν στουν κούτ κα ;nothern
Ου Λιόλιους χίρσιν να δυσκουλεύιτι κι να μουρμουρίζ σά να μήν τουν άριζιν;nothern
καντίπουτα να τουν αμπουδούν όλα Στάθκιν ουρθός κουντά στα διρπάνια κι;nothern
φώναξιν ;nothern
 Όι πάρτι μιά ανάσα δέ μπουρούμι να σας προυφτάσουμι Δέν ήρθαμι ιδώ να;nothern
θιρίσουμι όλου τουν κάμπου σι μιά μέρα Τί φούρια σας τσάκουσιν κι πιαλάτι ιέτσ ;nothern
Αγάλια αγάλια Νάμιστι κουντά ;nothern
Κάνα δυό τρείς γέλασαν κρυφά άλλ τουν τήρσαν ψίχα άγρα καμόσ δέν τουν;nothern
έδουκαν χαμπάρ Ου Μήκας ου τρανός τουν είπιν ;nothern
 Καλά ρα Λιόλιου σύρι στουν τόπου σ κι ιμείς τα παϊαίνουμι σιγότιρα να μας;nothern
προυφταίν τς ;nothern
Σάν έφυγιν ου Λιόλιους απ τα διρπάνια κι δέν άκουγιν ξανάπιν ου Μήκας ;nothern
 και σε χτυπούσε κατακέφαλα ;nothern
 Σά να μή μι φαίνιτι καλά ου Λιόλιους Τουν γλέπου να τσακίζ τ ζεύλα κι να;nothern
κάμ τουν ανήφουρου κατα ν Κόζιαν ;nothern
Πέρασιν η πρώτ μέρα μι του καλό Κατα του βράδ πήγαν πάλι στα τσιαΐρια ;nothern
ήφιριν κι τ αφιντικό του φαΐ κι έφαγαν καλά Ου Λιόλιους έφαγιν παραπάν απ ;nothern
όλνους κι τιντώθκιν στουν αέρα να ξιαπουστάσ ;nothern
Έβγαλιν ου Μήκας του τιφτέρ απ τουν τρουβά σάλιουσιν του μιλανίσιου του;nothern
μουλύβ κι έγραψιν του πρώτου μιρουκάματου στουν καθένα μι τ όνουμα τ κι είπιν;nothern
μαναχός τ ;nothern
Άιντι ρα Νάμιστι γιροί να τα φκιάσουμι απου πινήντα ;nothern
Έφιξιν πάλι η μέρα κίν τσιν του μπλιούκ σ άλλου χουράφ Ξανά πάλι ου;nothern
Νικόλας πρώτους οι άλλ ν ακλουθούν ου μπαλατζής μι τουν Λιόλιου στουν;nothern
πάτου ;nothern
Να σώνιτι του ιένα του χουράφ να πααίν ν στ άλλου κι κατα του μισ μέρ τουν;nothern
άναψιν η κάψα τουν Λιόλιου Γινατιάσ κιν ψίχα κι έφυγιν πήγιν σι μιά γκουρτσιά κι;nothern
έκατσιν στουν ίσκιου ;nothern
Νάξιρα πούταν τέτοια ζέστα δέ χανα πατήσου ούτι στου σύνουρου ήλιγιν;nothern
μαναχός τ κι αφού δέν τουν απουκρίθκιν κάνας άναψιν ακόμα παραπάν Πάει;nothern
κουντά στου μπλιούκ μι τα διματ κά στα χέρια κι τς είπιν ;nothern
 Πάρτι κι τα διματ κά σας κι τουν κλιτσινίκου σας κι ν προυκουπή σας Ιγώ;nothern
φεύγου τα γυρήσου σην Κόζιαν Δέν τα κάτσου να σκάσου απ τ ζέστα ;nothern
Σταμάτσαν όλ να θιρίζν σήκουσαν τα κουρμιά τς τήρσαν τουν Λιόλιου κι;nothern
χίρσαν να γιλούν Αυτός γινατιάσ κιν ακόμα παραπάν πουλέμσιν καταής τα;nothern
διματ κά κι τουν κλιτσινίκου κι κίν τσιν για τα τσιαΐρια απούταν του κουνάκ Σάν;nothern
τρανύτιρους ου Μήκας καθώς έφιβγιν ου Λιόλιους τουν είπιν ;nothern
 Τήρα ρα Λιόλιου τώρα π τα πάς σιαπάν άμα σι ρουτήσν γιατί γύρσις;nothern
τόσου νουρίς να τς πείς κάηκαν τα γιννήματα στ Λάρσα κι τα γυρήσν κι οι άλλ ;nothern
Ιέμασιν ου Λιόλιους τα σιέα κι τα τσιόλια τ στου σακί τάδισιν ζαλίκ σην πλάτ ;nothern
κι κίν τσιν τουν ανήφουρου για ν πατρίδα Ζέστα λάβρα πότι σταματούσιν σι;nothern
κάναν ίσκιου πότι κινούσιν τουν πήριν κι η νύχτα όταν έφτασιν στουν Τούρναβου ;nothern
Πέρασιν τ Μιλούνα κι κουντά σην Τσιαρίτσιαν έκατσιν σ ένα νόχτου ;nothern
Έκφρ τσακίζ τ ζεύλα φεύγει απ την παρέα απ τον ζυγό ;nothern
 4 ;nothern
Τουν πήριν ου ύπνους ψίχα βιρέφκα λοξά κάνα δυό ώρις κι πρίν να φέξ ;nothern
