,ΠΟΙΗΤΗΣ,DIALECT
0,"1     Tου Κύκλου τα γυρίσματα, που ανεβοκατεβαίνουν,",CR
1,"και του Τροχού, που ώρες ψηλά κι ώρες στα βάθη πηαίνουν·",CR
2,"και του Καιρού τα πράματα, που αναπαημό δεν έχουν,",CR
3,μα στο Kαλό κ' εις το Kακό περιπατούν και τρέχουν·,CR
4,"και των Αρμάτω' οι ταραχές, όχθρητες, και τα βάρη,           5",CR
5,του Έρωτος οι μπόρεσες και τση Φιλιάς η χάρη·,CR
6,"αυτάνα μ' εκινήσασι τη σήμερον ημέραν,",CR
7,ν' αναθιβάλω και να πω τά κάμαν και τά φέραν,CR
8,"σ' μιά Κόρη κ' έναν ’γουρο, που μπερδευτήκα' ομάδι",CR
9,"σε μιά Φιλιάν αμάλαγη, με δίχως ασκημάδι.          10",CR
10,"Κι όποιος του Πόθου εδούλεψε εις-ε καιρόν κιανένα,",CR
11,"ας έρθει για ν' αφουκραστεί ό,τ' είν' εδώ γραμμένα·",CR
12,"να πάρει ξόμπλι κι [α]ρμηνειά, βαθιά να θεμελιώνει",CR
13,"πάντα σ' αμάλαγη Φιλιάν, οπού να μην κομπώνει.",CR
14,"Γιατί όποιος δίχως πιβουλιά του Πόθου του ξετρέχει,          15",CR
15,"εις μιάν αρχή [α' βασανιστεί], καλό το τέλος έχει.",CR
16,"Αφουκραστείτε, το λοιπόν, κι ας πιάνει οπού'χει γνώση,",CR
17,για να κατέχει κι αλλουνού απόκριση να δώσει.,CR
18,"2     Στους περαζόμενους καιρούς, που οι Έλληνες ορίζαν,",CR
19,"κι οπού δεν είχε η Πίστη τως θεμελιωμένη ρίζαν,          20",CR
20,"τότες μιά Aγάπη μπιστική στον Kόσμο εφανερώθη,",CR
21,"κ' εγράφτη μέσα στην καρδιά, κι ουδεποτέ τση ελιώθη.",CR
22,"Kαι με Kαιρό σε δυό κορμιά ο Πόθος είχε μείνει,",CR
23,και κάμωμα πολλά ακριβόν έτοιους καιρούς εγίνη.,CR
